Numero,One_Way_Delay_seg
1,0.013381
2,0.000932
3,0.000972
4,0.000842
5,0.000932
6,0.000425
7,0.000805
8,0.000841
9,0.000956
10,0.001153
11,0.000903
12,0.001119
13,0.000901
14,0.001056
15,0.000894
16,0.000937
17,0.000990
18,0.000962
19,0.001037
20,0.000773
21,0.000981
22,0.000819
23,0.000874
24,0.000890
25,0.001506
26,0.000361
27,0.000749
28,0.000777
29,0.000956
30,0.000850
31,0.000981
32,0.000847
33,0.000285
34,0.000859
35,0.000888
36,0.001049
37,0.000958
38,0.000889
39,0.001019
40,0.000873
41,0.000901
42,0.000859
43,0.000849
44,0.000789
45,0.000877
46,0.000438
47,0.001191
48,0.000819
49,0.000882
50,0.001011
51,0.000983
52,0.000875
53,0.000770
54,0.000836
55,0.000869
56,0.001033
57,0.000982
58,0.000638
59,0.000939
60,0.000946
61,0.000806
62,0.001076
63,0.000821
64,0.000791
65,0.000908
66,0.000627
67,0.001089
68,0.000856
69,0.000843
70,0.001021
71,0.000823
72,0.000950
73,0.000324
74,0.000907
75,0.001373
76,0.102950
77,0.053123
78,0.005861
79,0.000905
80,0.001030
81,0.000947
82,0.001038
83,0.000831
84,0.000874
85,0.000267
86,0.000560
87,0.000901
88,0.000859
89,0.000926
90,0.000847
91,0.000878
92,0.000962
93,0.000810
94,0.000989
95,0.001000
96,0.000844
97,0.001157
98,0.001009
99,0.000889
100,0.000872
101,0.000952
102,0.001103
103,0.001037
104,0.000993
105,0.000291
106,0.000980
107,0.000955
108,0.000357
109,0.051148
110,0.004624
111,0.000998
112,0.000455
113,0.000308
114,0.000596
115,0.000926
116,0.000911
117,0.001093
118,0.000820
119,0.001093
120,0.000884
121,0.000850
122,0.000999
123,0.000547
124,0.002791
125,0.000387
126,0.001039
127,0.001402
128,0.000854
129,0.000887
130,0.001000
131,0.001083
132,0.000889
133,0.001112
134,0.000978
135,0.000880
136,0.001016
137,0.000898
138,0.001118
139,0.000809
140,0.000875
141,0.000983
142,0.000864
143,0.000706
144,0.000945
145,0.000422
146,0.000940
147,0.001037
148,0.000848
149,0.000743
150,0.001003
151,0.000427
152,0.101880
153,0.051724
154,0.003105
155,0.000879
156,0.000886
157,0.000888
158,0.000407
159,0.000427
160,0.000592
161,0.000972
162,0.000851
163,0.000947
164,0.000945
165,0.000480
166,0.000570
167,0.000773
168,0.000851
169,0.000909
170,0.000979
171,0.000860
172,0.000957
173,0.000908
174,0.001016
175,0.000996
176,0.001039
177,0.000891
178,0.000990
179,0.000889
180,0.001007
181,0.000889
182,0.000849
183,0.001098
184,0.000972
185,0.000632
186,0.001068
187,0.000934
188,0.000866
189,0.103394
190,0.053286
191,0.005719
192,0.000926
193,0.000875
194,0.000422
195,0.000695
196,0.000848
197,0.051117
198,0.007299
199,0.000787
200,0.001032
201,0.000811
202,0.000958
203,0.000776
204,0.002121
205,0.000659
206,0.000861
207,0.001138
208,0.000831
209,0.001063
210,0.000765
211,0.000861
212,0.001107
213,0.001018
214,0.001094
215,0.001046
216,0.000964
217,0.001044
218,0.000584
219,0.001279
220,0.000883
221,0.000944
222,0.153312
223,0.103049
224,0.052957
225,0.005652
226,0.001092
227,0.000931
228,0.000965
229,0.000837
230,0.000374
231,0.000949
232,0.000555
233,0.000899
234,0.000335
235,0.000368
236,0.000983
237,0.000903
238,0.001091
239,0.000964
240,0.001077
241,0.000990
242,0.000956
243,0.001029
244,0.000455
245,0.000843
246,0.001041
247,0.000889
248,0.001086
249,0.000959
250,0.000948
251,0.000972
252,0.000942
253,0.000937
254,0.001036
255,0.000793
256,0.000842
257,0.000949
258,0.001087
259,0.000959
260,0.000904
261,0.001004
262,0.001049
263,0.000968
264,0.000425
265,0.000950
266,0.000888
267,0.001040
268,0.000944
269,0.000949
270,0.001054
271,0.153128
272,0.102921
273,0.052706
274,0.006111
275,0.000434
276,0.000785
277,0.001061
278,0.000659
279,0.001066
280,0.001081
281,0.000959
282,0.000998
283,0.000592
284,0.000489
285,0.002498
286,0.000898
287,0.000901
288,0.001108
289,0.000908
290,0.000970
291,0.001141
292,0.000923
293,0.000971
294,0.000936
295,0.000996
296,0.000898
297,0.001030
298,0.001154
299,0.000973
300,0.000927
301,0.001051
302,0.000792
303,0.001132
304,0.000613
305,0.000926
306,0.001141
307,0.001168
308,0.000887
309,0.000865
310,0.001152
311,0.000987
312,0.001114
313,0.000911
314,0.001066
315,0.000352
316,0.000855
317,0.000980
318,0.002222
319,0.000988
320,0.000907
321,0.000952
322,0.000933
323,0.001081
324,0.000756
325,0.001019
326,0.000841
327,0.000999
328,0.001384
329,0.000906
330,0.000914
331,0.000867
332,0.000974
333,0.001052
334,0.000828
335,0.001069
336,0.000854
337,0.001040
338,0.000947
339,0.001040
340,0.000972
341,0.000986
342,0.001104
343,0.000480
344,0.000657
345,0.001253
346,0.000938
347,0.000984
348,0.000944
349,0.000932
350,0.001564
351,0.001945
352,0.001207
353,0.001037
354,0.001084
355,0.000951
356,0.000488
357,0.000955
358,0.001018
359,0.000966
360,0.001280
361,0.000993
362,0.101173
363,0.051284
364,0.007807
365,0.001229
366,0.001120
367,0.001231
368,0.001069
369,0.001064
370,0.001067
371,0.000998
372,0.001012
373,0.001200
374,0.000977
375,0.000947
376,0.001297
377,0.001051
378,0.001053
379,0.000899
380,0.000550
381,0.001011
382,0.000927
383,0.000541
384,0.000974
385,0.000982
386,0.001017
387,0.001041
388,0.001020
389,0.001030
390,0.000949
391,0.001116
392,0.001007
393,0.001020
394,0.001123
395,0.000985
396,0.000485
397,0.001086
398,0.000963
399,0.000839
400,0.001072
401,0.001135
402,0.001127
403,0.000691
404,0.000970
405,0.001033
406,0.000898
407,0.001146
408,0.103274
409,0.053057
410,0.005624
411,0.000860
412,0.000986
413,0.001208
414,0.000929
415,0.001026
416,0.001109
417,0.001109
418,0.000926
419,0.001085
420,0.001008
421,0.001119
422,0.001145
423,0.000881
424,0.000936
425,0.001017
426,0.000917
427,0.001033
428,0.000922
429,0.000890
430,0.000533
431,0.000997
432,0.001075
433,0.000913
434,0.000993
435,0.000948
436,0.000353
437,0.000686
438,0.001017
439,0.000970
440,0.001102
441,0.000992
442,0.000653
443,0.000767
444,0.000953
445,0.000931
446,0.000986
447,0.000868
448,0.000987
449,0.103162
450,0.053066
451,0.005874
452,0.000988
453,0.000947
454,0.003961
455,0.000955
456,0.000929
457,0.001112
458,0.000951
459,0.001127
460,0.000922
461,0.000954
462,0.000402
463,0.000401
464,0.000410
465,0.000457
466,0.000397
467,0.000426
468,0.000427
469,0.000654
470,0.001109
471,0.000902
472,0.001037
473,0.001049
474,0.001046
475,0.001153
476,0.000985
477,0.000585
478,0.001161
479,0.000963
480,0.000989
481,0.000974
482,0.000498
483,0.000944
484,0.000919
485,0.001181
486,0.000961
487,0.000954
488,0.001022
489,0.000923
490,0.001429
491,0.001071
492,0.000437
493,0.000868
494,0.001071
495,0.000979
496,0.000921
497,0.001052
498,0.001000
499,0.001112
500,0.000930
501,0.001059
502,0.000466
503,0.000994
504,0.000993
505,0.001136
506,0.000966
507,0.001133
508,0.000945
509,0.001037
510,0.000851
511,0.001030
512,0.001079
513,0.000998
514,0.001009
515,0.001128
516,0.001127
517,0.000513
518,0.001039
519,0.001096
520,0.002010
521,0.000982
522,0.000592
523,0.000930
524,0.001191
525,0.000887
526,0.001044
527,0.000927
528,0.000825
529,0.000971
530,0.000987
531,0.001090
532,0.000999
533,0.001154
534,0.000987
535,0.000901
536,0.001030
537,0.000905
538,0.000953
539,0.001067
540,0.001010
541,0.001146
542,0.000671
543,0.000804
544,0.000897
545,0.001282
546,0.001037
547,0.000926
548,0.000407
549,0.001294
550,0.001110
551,0.000957
552,0.000966
553,0.001571
554,0.000984
555,0.000879
556,0.000995
557,0.000936
558,0.000641
559,0.000883
560,0.000935
561,0.000389
562,0.000694
563,0.001146
564,0.001141
565,0.001122
566,0.001071
567,0.000929
568,0.001063
569,0.001143
570,0.000844
571,0.000962
572,0.000961
573,0.001095
574,0.001212
575,0.001122
576,0.001014
577,0.001057
578,0.000996
579,0.000981
580,0.000846
581,0.000357
582,0.000848
583,0.000636
584,0.001087
585,0.000850
586,0.002902
587,0.001064
588,0.000986
589,0.000918
590,0.000991
591,0.001023
592,0.001022
593,0.000917
594,0.001056
595,0.000991
